"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","608"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"scielo.br","estrangeira que predominava nos anos de 1970. </s><s> Mas não é apenas porque julgamos essa nostalgia insustentável que","nos esforçamos para desconstruí-la",". </s><s> Fazemo-lo porque julgamos que, em áreas como a educação, historicamente vinculada à extensão e que apenas mais"
"scielo.br","clínico. </s><s> Elegemos a Neurolingüística Discursiva (doravante ND), neste artigo, como o ""posto de observação"" de onde","nos colocamos para refletir","e avaliar criticamente a semiologia das afasias e suas implicações no contexto clínico. </s><s> O próprio termo ""semiologia"""
"scielo.br","com DPP (P4), acho que o grupo contribui para a prevenção da depressão porque discutiu sobre os sonhos e desilusões e","nos preparou para observar","os sintomas depressivos e tentar evitá-los (P5). </s><s> Para essas colaboradoras, observa-se que o grupo do PNP favoreceu"
"scielo.br","novas interações, criar laços e se diferenciar, é possível potencializar as brechas que tal afirmação identitária","nos traz para problematizarmos","as construções de gênero que ainda vigoram em nossa sociedade. </s><s> As identidades trans* abrem um debate sobre a"
"scielo.br","ou ""protocolos terapêuticos"", preconizados para vítimas de violência doméstica em algumas redes. </s><s> O caso de Carminha","nos adverte para pensar","os protocolos como estratégias generalizantes, pautadas numa visão fragmentada do corpo, visando a medicar para"
"scielo.br","um método histórico que considera o discurso como saber, e não como ciência, uma das primeiras distinções que Foucault","nos pediria para fazer","é a distinção entre domínios científicos e territórios arqueológicos, pois seus princípios de organização são"
"scielo.br","é que somos convidados a rir dessa família da Idade da Pedra com os costumes sexuais da América dos anos de 1950, mas a P. E.","nos pede para levar","seus relatos das relações de gênero seriamente em conta. (Rose, 2000, p. 141-142). </s><s> Não apenas querem que levemos esta"
"scielo.br","e os limites da construção da esfera pública em nossa história política. </s><s> O IV Seminário de Educação Brasileira (SEB)","nos reúne para retomar","uma tarefa política que nos tem ocupado nas últimas décadas: aprofundar-se nos limites históricos e nas"
"scielo.br","cuja adequada alocação é de primordial importância para maximização da saúde com os recursos disponíveis, deveremos","nos esforçar para entendermos","e interpretarmos esses novos modelos, os farmacoeconômicos, que levam em consideração os aspectos clínicos e"
"scielo.br","Paulista de Saúde Pública (APSP) diversidade de experiências e de idéias, geradoras de tensões criativas que","nos convergiram para dar","seqüência e conseqüência às tradições, compromissos, conquistas e atividades que a APSP vem estabelecendo ao longo"
"scielo.br",", porém, creio que existe uma agenda local preponderante nesse caso. </s><s> Nós, historiadores latino-americanos, muito","nos empenhamos para reverter","aquela visão eurocêntrica e mostrar que a ciência e a medicina latino-americanas foram coparticipantes dos"
"scielo.br","vos anunciamos que o Rio de Janeiro vai possuir um estabelecimento de ortopedia e de ginástica. </s><s> Só esta circunstância","nos bastava para rogar-vos","que deis vosso sufrágio ao projeto, cujo exame nos incumbistes. </s><s> Quantas vezes, Senhores, cada um de nós se não viu"
"scielo.br","pela criação, em dezembro de 1837, do Colégio D. Pedro II. </s><s> Nesta segunda forma de escolarização, pretendemos","nos ater para colocar","em discussão o ensino de História organizado pelos documentos curriculares, que iniciaram sua existência a partir de"
"scielo.br","no limite da psiquiatria e da criminologia, constituem um grupo de ""casos difíceis"" sob todos os aspectos, e devemos","nos esforçar para superar","a simples descrição de distúrbios e tentar descobrir em que eles se distinguem das estruturas neuróticas, psicóticas"
"scielo.br","com uma proposta: </s><s> Me manda uma foto do seu apartamento pelo WhatsApp que aplico a imagem do quadro em proporções reais e","te devolvo para ver","o que acha, disse Eletria, a artista. </s><s> Anna explicou que era turista e que não tinha uma foto com tais característica. </s>"
"scielo.br","ambientais (temperatura, vento, umidade do ar e solo), mas também do estado fisiológico das plantas, isto é, reservas","nos tecidos para suportar","o dreno exercido pelo crescimento reprodutivo e vegetativo, nutrição mineral e balanço hormonal, e da carga pendente"
"scielo.br","a relação entre homens e mulheres, compreendendo as significações do gênero no passado.46 Traduzindo: elas estão","nos convocando para observar","o que significava ser homem ou mulher no passado. </s><s> O que levou Scott a discutir uma categoria de análise como o ""gênero"""
"scielo.br",", como no depoimento registrado no relatório do encontro: ""o pessoal está se reunindo para mudar essa escola. </s><s> Estamos","nos reunindo para ver","como seria a escola ideal para nós"" (Encontros Anuais..., 1988/99). </s><s> Acreditar na urgência e na possibilidade da"
"scielo.br","integram aspectos emocionais, bem como a ""escuta poética da natureza"", de Prigogine & Stengers (1990), no sentido de","nos capacitarmos para diagnosticar","precocemente as situações de frustração, perda, sofrimento emocional em pessoas mais vulneráveis, elaborando"
"scielo.br","professor Paulo Freire, Secretário da Educação da prefeita Luiza Erundina, que, sensibilizado com a nossa questão,","nos recebeu para trabalhar","no agora denominado Departamento de Orientação Técnica, antigo Departamento de Planejamento. </s><s> Assim, ficamos em"
"scielo.br","limitado. </s><s> Mais recentemente, alguns dos escritos de Stanislavsky sobre como os atores preparam seus papeis têm","nos interessado para pensar","como os antropólogos se preparam para lidar com o acesso que tiverem junto a elites. ""Alinhamento"" é mais do que o acesso"
"scielo.br","de qualquer perigo. </s><s> Talvez valesse problematizar como e se nos entendemos, de fato, como parte do próprio mundo. </s><s> O que","nos move para tomar","atitudes preocupadas com a sustentabilidade da Terra e de nossa vida cotidiana? </s><s> Muito mais do que preocupações com o"
"scielo.br","desta vida? </s><s> Entendemos que uma nova entrada para outros campos sensíveis poderá ocorrer se mudarmos o foco da atenção,","nos esforçando para olharmos","para nossas próprias práticas cotidianas, visto que, como nos sinaliza Negri: </s><s> É evidente que todo movimento de"
