"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","231"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"dgabc.com.br","Palhavam disse que a equipe está preparada para tudo. ""É briga direta pelo G-4. </s><s> Essa oscilação na escalação do Santos","dificulta para nós sabermos","qual será a postura deles, mas vamos tomar cuidado, esperar uns minutos para ver definição em campo e depois impor nosso"
"dgabc.com.br","avaliação de Rocha, o regime de capitalização, proposto por outras candidaturas, pode sofrer em momentos de crise. </s><s> ""É","complicado para nós adotarmos","esse porque nossa história recente mostra que em 20, 30 anos temos grave crise, que pode impactar esta capitalização"","
"dgabc.com.br","parceria Público-Privada (PPP) para a construção e gestão do espaço. </s><s> ""Estamos muito felizes com a oportunidade que se","abriu para nós levarmos","o automobilismo de base a um espaço como esse. </s><s> A Bahia, sua cultura, seu povo e sua alegria são especiais e a"
"ce.gov.br","uma apresentação emocionante para marcar esse momento de partilha e que nos faz relembrar o sacrifício que Cristo","fez para nós salvar",""", enfatizou Amanda. </s><s> Movimentação Conversando com o deputado Fernando Santana (PT), vice-presidente da Assembleia"
"terra.com.br","securitização de ativos não impactava no déficit primário. </s><s> Acho que finalmente aceitaram a nossa proposta, porque","é para nós realizarmos","a travessia desse momento enquanto aprova as nossas medidas"", disse. ""Cansei de falar que eu não estava inventando a"
"terra.com.br","o governo Bolsonaro, afora sua postura autoritária, é o fato de ele ter demorado três meses para agir. </s><s> Nesse momento, já","era para nós estarmos","entrando em uma segunda fase. </s><s> Minha maior preocupação é com as vidas das pessoas que podem morrer por falta de atenção do"
"aepet.org.br","erradamente, beneficia às patrocinadoras. </s><s> E prejudica o nosso plano. </s><s> A conta dessa gestão desastrosa está sendo","apresentada para nós pagarmos",". </s><s> Chama-se déficit técnico e Plano de Equacionamento paritário absurdo que a Petros nos apresenta e que será efetivado"
"terra.com.br","destaques da equipe. ""Entendo o Marcos porque ele tem muita responsabilidade por ser o goleiro da Seleção. </s><s> Ele tem que","pedir para nós corrermos","mesmo"", diz. </s><s> O técnico Márcio Araújo até elogiou o comportamento do goleiro. ""Gosto muito do Marcos porque ele fala o"
"aepet.org.br","para a tomada de uma decisão tão importante. ""Nossa iniciativa teve como origem a forma como o projeto repentinamente","chegou para nós decidirmos",", com um prazo pouco superior a um dia. </s><s> Preventivamente, dissemos que não vamos tomar uma decisão dessa envergadura de"
"terra.com.br","em São Paulo. </s><s> Às 19h15, Candinho falou, pelo telefone, com a Agência Estado. ""Se o Ricardo Teixeira nos demitir, mas","pedir para nós dirigirmos","a seleção na partida com a Venezuela, vamos dirigir. </s><s> Não vamos deixar o barco à deriva"", afirmou Candinho, aparentando"
"terra.com.br","não deveria ser essa. </s><s> Para mim, isso tudo é novo, nunca passei por uma situação assim. </s><s> Mas ainda tem muitos jogos,","dá para nós reagirmos",". </s><s> Temos que ter a cabeça no lugar, ficar tranqüilos. </s><s> Temos condições de mudar"", falou o jogador. </s><s> Para ele, o técnico"
"terra.com.br","precisamos trabalhar em cima dela. </s><s> O nosso próximo compromisso será frente o Guarani e a vitória contra o Santa Cruz","servirá para nós entrarmos","mais tranqüilos em campo. </s><s> Já demos o primeiro passo, que era o mais difícil, agora é só embalar"", finalizou Roger. </s>"
"terra.com.br","isso mesmo. </s><s> Agora estou com erro no Signature Method. </s><s> Alguem vê algo errado? </s><s> ""Depois do susto, o grupo mudou o espírito. </s><s>","Serviu para nós crescermos","na partida. </s><s> Mostramos um alto poder de superação. </s><s> Estivemos taticamente bem no confronto de hoje"", disse o técnico do"
"terra.com.br","que seu ex-pupilo perca a final do Aberto da Austrália no domingo, disse o jornal sueco Dagens Nyheter neste sábado. </s><s> ""Se","é para nós continuarmos","trabalhando juntos, é provavelmente melhor que ele perca a final"", disse Wilander ao jornal. </s><s> Wilander disse que a"
"redegn.com.br","Torres </s><s> 27 de Aug / 2010 às 21h09 </s><s> É isso ai Carlos Brasileiro. </s><s> Conte com o nosso apoio. </s><s> É de pessoas como você que precisamos","eleger para nós representar","na assembéia legislativa. </s><s> Um abraço </s><s> Eita sem Juizo </s><s> 28 de Aug / 2010 às 07h29 </s><s> Eita dois sem Juizo,estes dois rapaz não tem"
"guiame.com.br","tornou o modelo perfeito a ser seguido. </s><s> Portanto o ser perfeito está lá atrás e não lá adiante. </s><s> Aquilo que a ciência puder","fazer para nós devolver","esta originalidade será muito bem aceita. </s><s> No entanto, suas ações e invenções que nos afastem ainda mais do ser original"
"guiame.com.br","do Eterno na nossa direção para que nós sejamos abençoados e restituídos. </s><s> Enquanto o ímpio está plantando, ele vai","perder para nós podermos","ganhar, porque isso é uma regra básica para o Eterno. </s><s> Está escrito na Palavra que o ímpio plantaria para que o justo"
"guiame.com.br","o show é muito bonito. </s><s> Creio que nós também temos que aprender e desenvolver isso no lado gospel"", afirma o cantor. ""Isso","serve para nós mostrarmos","a Reino de Deus? </s><s> Não. </s><s> O Reino de Deus não é mostrado através de templos, igrejas bonitas ou shows, mas sim, através da"
"guiame.com.br","que ele puxou debaixo de seu colete. </s><s> Assim que minha prima e eu vimos a arma, nos escondemos atrás da minha mãe, que","gritou para nós fugirmos","; o terrorista atirou no braço de mamãe, enquanto ela tentava nos proteger; enquanto nós fugíamos, ela caiu e a"
"guiame.com.br","precisam estar dispostos a correr riscos e sentir-se à vontade para desconfortar, a fim de alcançar as pessoas que Deus","tem para nós alcançarmos",". ""Temos que começar a amar - realmente amar - outras pessoas se quisermos que elas saibam a verdade sobre quem é Deus e o"
"guiame.com.br","quarto. </s><s> E é incrível como Deus nos leva de volta para lugares por onde a gente já passou e refaz aquele caminho. </s><s> Não","é para nós torturar",", não é para nos mostrar o quanto aquele tempo era bom. </s><s> Mas, é para nos mostrar que assim como ele foi fiel naquele tempo ele"
"guiame.com.br","<s> Ele também comentou sobre a abertura que alguns cantores gospel têm na mídia secular. ""É uma oportunidade que Deus está","dando para nós usarmos","essa abertura para falar do Evangelho. </s><s> Essa é a nossa mensagem. </s><s> Nosso assunto maior é Cristo, não existe tema mais"
"guiame.com.br",". </s><s> Eles estavam falando espanhol. </s><s> Eu estava muito confuso. </s><s> Foi quando eu vi o médico da Chapecoense que eu me lembrei que","era para nós jogarmos","a final"", explicou. </s><s> ""Eu disse: ''Doutor, o que aconteceu no jogo? </s><s> Eu me machuquei?''. </s><s> Ele disse: ''Sim, Neto, você se"
"guiame.com.br","de uma galinha preta ou cordeiro, nem com o dízimo, nem mesmo com suas boas ações. </s><s> O padrão dessa força/pessoa é muito","elevado para nós satisfazerem",". </s><s> Até para um jedi! </s><s> Para nos aproximarmos dessa força/pessoa é só com um coração humilde, na fé que Sua infinita"
"conjur.com.br","! </s><s> Qual categoria goza de tamanha segurança? </s><s> Pessoas comuns trabalham, com ou sem vírus! </s><s> Talvez esta praga","sirva para nós mostrar","que a autotutela, apesar de ser primitiva, é mais eficiente do que a Justiça. </s><s> Goebbels, de novo! </s><s> Virou uma certa mania,"
"conjur.com.br","uniformizar com o que há de melhor? </s><s> Agora querem transformar o projudi em pje. Não durmo só ao pensar nisso. </s><s> O que devemos","fazer para nós ouvirem","? </s><s> Duvido que exista alguém que não vote pela uniformização com o e-proc! </s><s> e-proc </s><s> O e-Proc é excelente (simples e"
"conjur.com.br","a condenados reincidentes que causaram prejuízos bilionários aos contribuintes. </s><s> Como se vê, a conta está sendo","apresentada para nós pagarmos","e, desta vez, virá tão salgada que não teremos tempo nem de reclamar mais, pois todo nossos esforços serão para"
"folha1.com.br","até agora. </s><s> O Governo Federal (Dilma) até hoje não nos enviou o repasse referente a novembro/2015, e à cada dia, fica mais","complicado para nós mantermos","uma unidade regional, com atendimento de 14 municípios do Noroeste. </s><s> O futuro a Deus pertence, mas a nossa parte,"
"conjur.com.br","empresas estão deixando o Brasil. </s><s> Outras nem pensam em vir para cá. </s><s> Afinal, não gostamos de riscos. </s><s> Os outros que o","façam para nós pagarmos","as contas. </s><s> Em um país carente de tudo, o grande sonho é ser funcionário público de alto escalão. </s><s> Uma nação eternamente """
"folha1.com.br",". </s><s> E a expectativa é de ampliar este ano, implantando mais duas modalidades tênis de mesa e capoeira. </s><s> – É muito","orgulho para nós poder","oferecer esse projeto para as pessoas com deficiência que viviam à margem da sociedade. </s><s> Em menos de dois anos, eles"
"senado.leg.br","sabatina. </s><s> Eu só queria saber se isso vai ser realizado este ano, haja vista que a disponibilidade da agenda do que está","previsto para nós trabalharmos","não está contemplando reuniões de comissões. </s><s> Queria saber se o senhor está programando, se o senhor vai conversar com o"
"senado.leg.br",", afinal, o que a maioria dos homenageados faz de forma voluntária e abnegada, para servir e defender quem mais precisa,","é para nós parlamentares","um dever constitucional – disse Leila. </s><s> O mesmo ressaltou o senador Alessandro Vieira (Cidadania-SE), que presidiu a"
"senado.leg.br","os objetivos desse Governo Federal, que foi eleito nessa questão de eficiência do Estado, sejam respeitados e sejam","levantados para nós fazermos","esse bom combate. </s><s> Muito obrigado pela paciência. </s><s> Um grande abraço a todos! </s><s> Saudade de vocês, espero revê-los muito em"
"senado.leg.br","significa a vida neste ano de 2020. </s><s> Nunca foi tão presente a fragilidade da vida como neste ano de 2020. </s><s> E talvez isso deva","servir para nós refletirmos","diante da fragilidade da vida o que nós devemos fazer nessa passagem. </s><s> Nessa passagem aqui, a maior riqueza que nós"
"senado.leg.br",", todos nós unidos para fazer o Brasil voltar a crescer, para que o emprego possa retornar. </s><s> Que essa vacina possa ser","produzida para nós vacinarmos","desde o mais idoso até a menor idade, nós podermos vacinar todos os brasileiros... </s><s> Eu encerro, Presidente, já tarde da"
"senado.leg.br",", como está. </s><s> O espelho é esse. </s><s> Essa é a realidade e nós estamos sabendo. </s><s> Eu acho que esse é um direito de todos e vai","facilitar para nós abrirmos",", como se diz na gíria, a caixa-preta que existe, principalmente na questão da mobilidade urbana. </s><s> Isso vai servir para"
"senado.leg.br",", nessa matéria, como foi relatada pelo Relator da matéria Senador Antonio Anastasia... Eu vejo que o Senado se","movimentou para nós votarmos","essa emenda constitucional. </s><s> Eu queria pedir aos Senadores, se houver um entendimento, que nós pudéssemos, em seguida"
"senado.leg.br","ficasse 15 dias, que é um prazo razoável que foi pedido pelos Líderes parlamentares aqui nesta sessão, e essa matéria","voltasse para nós votarmos",". </s><s> Se derrotarem ou vencerem o projeto, nós deliberaremos sobre ele. </s><s> Então, eu queria fazer um acordo com o Plenário,"
"senado.leg.br",", alguma orientação? </s><s> Acredito que não. </s><s> Portanto, Sr. Presidente, esta multa que trago ao conhecimento do Senado","serve para nós percebermos","que não é apenas com uma legislação ambiental que estabelece multas exorbitantes, que não é apenas a rigidez da lei que"
"senado.leg.br",", para a assistência social no nosso País? </s><s> Aonde poderemos chegar com esses cortes na assistência social? </s><s> Não","dá para nós admitirmos","! </s><s> O que está acontecendo? </s><s> A gente vê a todo o momento... Parece que está brincando de governar. </s><s> Cada fala do Presidente"
