"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","652"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"pcp.pt","assegurar um Portugal com futuro. </s><s> Quando falamos de constrangimentos falamos do Euro, das suas regras e critérios que","nos prejudicam para servir","os interesses dos países mais poderosos e nos amarram a decisões e imposições externas. </s><s> Falamos da dívida, do seu nível"
"pcp.pt","curioso, é, aliás, natural que não queiram assumir que existem estes dados, além daqueles com que, sistematicamente,","nos bombardeiam para branquear","a situação em que o País está mergulhado. </s><s> O Sr. Deputado coloca a questão – inclusivamente, também valorizei-a na minha"
"pcp.pt","e reforçar-se... </s><s> Toda esta situação é completamente nova. </s><s> Ao longo dos cerca de 20 dias de protestos, as pessoas que","nos procuraram para aderir","ao Partido excede em muito o total dos nossos militantes. </s><s> Temos agora que decidir o que fazer e como fazer, até porque a"
"pcp.pt","bomba nem a última que venham a cair sobre Iraque. </s><s> Que não continuem os senhores e as senhoras do poder a dizer que","nos manifestamos para salvar","a vida e o regime de Sadam Hussein. </s><s> Mentem com todos os dentes que têm na boca. </s><s> Manifestamo-nos, isso sim, pelo direito e"
"pcp.pt","homenagem e com a edição de uma brochura dedicada à sua vida e à sua actividade, neste momento em que passam 60 anos que","nos deixou para fazer","parte do extenso e tenebroso rol dos crimes do fascismo. </s><s> Militão Ribeiro morreu a 2 de Janeiro de 1950, metódica e"
"pcp.pt","momentânea não representa discordância. </s><s> Nós, se discordamos, dizemos que discordamos e dizemos porquê, não","nos ausentamos para fugir","a responsabilidades. </s><s> O Sr. Deputado já nos conhece há muito tempo e sabe disso! </s><s> Portanto, essa proposta teria,"
"pcp.pt",", estes são pequenos passos do muito que é preciso caminhar para enfrentar os problemas estruturais da Justiça e que só","nos encorajam para continuar","a luta. </s><s> O caminho que está por fazer far-se-á com a luta do povo português, com o PCP, pela garantia do acesso de todos ao"
"rtp.pt","mas não no mesmo carro. </s><s> Acho que acaba por ser perigoso se vier sozinha, ainda me acontece alguma coisa. </s><s> Com as regras que","nos pediram para cumprir",", eu tento cumprir ao máximo"", justificou. </s><s> O regresso da competição ""acaba por ser o menos importante neste momento"","
"rtp.pt","e muitas vezes os que tentavam fugir eram capturados pelo Estado Islâmico. ""Seguimos as instruções do Governo, que","nos disse para ficar","nas nossas casas. </s><s> Segundo as instruções, quem não tinha nada a ver com o Daesh devia ficar. </s><s> Ouvimos essas instruções na"
"rtp.pt","de natureza. </s><s> duração total 44m </s><s> Hoje olhamos para a natureza e para a forma como podemos tirar partido daquilo que ela","nos dá para embelezar","os nossos espaços, seja onde vivemos ou onde andamos. </s><s> E se falamos de harmonia com a natureza, falamos de arquitetura"
"rtp.pt",", através do aumento da procura interna, sem prejuízo do esforço acrescido que a desaceleração da economia mundial","nos exige para crescer","no mercado externo"". </s><s> ""Um Governo que se dirige a todos os portugueses, sem recorrer a divisões artificiais,"
"rtp.pt","e diplomacia criativa"". 17h12 - A importância da prevenção ""A prevenção é o que os fundadores das Nações Unidas","nos pediram para fazer",". </s><s> É a melhor forma de salvar vidas e de reduzir o sofrimento humano. </s><s> Onde a prevenção falha, devemos fazer mais para"
"rtp.pt","todas as condições de saúde e segurança de todos os colaboradores e peregrinos. </s><s> Renovamos o pedido a todos quantos","nos visitam para cumprirem","as regras de distanciamento social e o uso de máscara nos espaços do Santuário fechados ou com muita gente. </s>"
"blitz.pt","história e seria impossível passarmos por isto sem ficarmos com um registo. </s><s> Estamos todos juntos cá dentro, agora que","nos preparamos para sair",". </s><s> Na batalha cruenta travada entre os grandes interesses de então, de um então pra lá de pré-histórico, para decidir"
"vidas.pt","sexo, que Cristina conseguiu ouvir a conversa íntima. </s><s> ""Ouvi assim: ''Oh Ben, diz-me lá, esta coisa da quarentena a ti não","te dá para acasalar","?''"", contou Cristina. </s><s> ""Epa, dá, dá. </s><s> Olha e já estou a viver no tempo em que consigo pôr dois risquinhos por dia"","
"blitz.pt","que nos outros. </s><s> No ''Linha de Ferro'', do ""Quarto Crescente"", já acontecia um pouco: ""vou numa linha de ferro e a cada terra","te enterro para salvar","o meu coração""... Tens de partir para outra, tens esse poder de partir para outro universo, para outro horizonte. </s><s> Há um """
"blitz.pt","grande tarefa num concerto dos Gogol Bordello é perceber quem faz o quê. </s><s> O rodopio é tamanho que, por vezes, quando","nos preparamos para assentar","os olhos na pessoa que toca instrumento A ou B, ela já não se encontra na mesma posição, exceptuando, claro, o baterista,"
"blitz.pt","para recomendar, com o aval da fadista Carminho, salas como o Tejo Bar, a Tasca do Chico, a Mesa de Frades e O Faia. </s><s> ""Se tudo","te disser para entrares",", é porque não é uma casa de fado interessante"", alerta Carminho. ""Mas se fores a uma casa de fado e não compreenderes tudo"
"vidas.pt","para cultivar e eu e os meus primos aproveitávamos para ir apanhar pássaros e sapos. </s><s> Fomos mesmo crianças. </s><s> Ninguém","nos pedia para sermos","outra coisa senão meninos. </s><s> Realização do Projecto de Execução e RECAPE (Relatório de Conformidade Ambiental e do"
"vidas.pt","do dia em que na minha cabeça passaste de Diana Chaves para Diana. </s><s> Foi no escritório do Daniel Oliveira, quando ele","nos juntou para apresentarmos","um programa chamado ''Smile SIC''"", começou por dizer o jovem. </s><s> ""Saímos dessa sala como se tivéssemos feito o secundário"
"blitz.pt",""". </s><s> ""Vi os Gojira em Glasgow há três anos e já vi os Deftones três vezes, pelo que fiquei muito entusiasmada quando eles","nos pediram para tocar","no festival. </s><s> Só porque alguém toca ou ouve ''música pop'' não significa que não perceba ou aprecie outras coisas"","
"blitz.pt","mais ruidosa e assustadora que já ouvi"", contou. ""Não sei o que fazer, nem sei porque estou a partilhar isto, exceto para","vos dizer para terem","cuidado"". </s><s> As autoridades locais já se encontram a investigar o incidente, não tendo para já efetuado quaisquer"
"blitz.pt","estava a soar-nos perfeitamente bem assim. </s><s> Era exatamente o que queríamos dizer. </s><s> Não houve uma decisão editorial. </s><s> Não","nos sentámos para decidir","que o disco era em português para chegar aos grupos x e y. </s><s> Ficou genuíno. </s><s> Musicalmente, há outras voltas, outros"
"vidas.pt","vigiadas há 30 anos. </s><s> 03 jul 2019 • 01:30 </s><s> CM - Qual o pedido mais exótico que lhe foi feito? </s><s> Paulo Sil - Há banhistas que","nos pedem para tirar","fotos com o nosso material de salvamento. </s><s> Em especial gostam de tirar com a boia porque lhes recorda a série ''Marés Vivas"
"vidas.pt","de repente não me ocorre nenhum em especial, mas já aconteceram alguns pedidos engraçados. </s><s> Por vezes há raparigas que","nos pedem para fazer","o curativo em feridas feitas há uma semana, também já aconteceu uma ou outra senhora com mais idade a pedir para lhe"
"blitz.pt","voltou ao tema, garantiu que nada mudaria no disco, que apenas gostava que ""Lou Reed ainda por cá andasse"". ""Se o Lou Reed","te telefonasse para gravares","música com ele não dirias que não. </s><s> Se o dissesses eu teria de questionar a tua validade enquanto artista"", afirmou. </s><s> Nota"
"blitz.pt",". </s><s> Isto num quadro de crescimento da indústria. </s><s> Só que a realidade mudou. </s><s> E acabámos por lançar o Carícias Malícias, que","nos deu para começarmos","a editar outras coisas. </s><s> A seguir à NorteSul, de onde saímos por não termos ficado satisfeitos com o empenho no Primavera"
"blitz.pt","as salas. </s><s> Até lá, temos de fazer tudo para que os públicos regressem às mesmas, mesmo com lotação reduzida. </s><s> Temos de","nos organizar para garantir","trabalho a todos, não só aos artistas. </s><s> As pessoas têm de ter a dignidade de pelo menos ganharem dinheiro para levarem"
"vidas.pt",", lamentou não poder abraçá-la como antes. </s><s> ""A mãe mais bonita faz anos! </s><s> Tempos diferentes estes, aos quais temos que","nos habituar para proteger","aqueles que mais amamos e, também, a todos os outros. </s><s> Saudades do melhor abraço do mundo! </s><s> Parabéns"", escreveu, na"
"blitz.pt","à camisola. </s><s> Pelas paredes, encontramos frases escritas a caneta (""Pensar e sentir são a mesma coisa""; ""Tens o tempo que","te falta para seres","tudo isso de novo""), cartazes de concertos próprios e dos amigos mais próximos (como de Nuno Prata, que nos Ornatos se"
"blitz.pt","já familiares Olympic Studios, o habitual almoço buffet antecedeu a entrada na sala onde Jimmy Page e Robin Hurley","nos esperavam para dar","início a mais uma sessão de escuta. ""Penso que..."", diz o septuagenário artista, ""aliás, penso não, sei que temos uma"
"blitz.pt","a distância para criar profundidade, de toda essa versão precoce da ciência de gravar."", introduz o veterano. ""Quando","nos convidaram para irmos","para os Polar Studios, prometeram-nos ser generosos com o tempo de estúdio, mas o que queriam realmente era que um grupo"
"blitz.pt","da estrutura e libertou-nos daquele pesadelo. </s><s> Ainda tínhamos compromissos com a discográfica. </s><s> Por isso, quando","nos reunimos para tocar",", avançámos com temas novos (''Estupidez'') que, com algum trabalho de ensaio no então em construção Régiestudio, nos"
"blitz.pt","tendo em conta o clima emocional atual"", respondeu. </s><s> ""O Warren quis esperar até o Trump ser reeleito, na esperança de que","nos convidasse para tocar","a ''No Pussy Blues'' nas celebrações presidenciais"", continuou. ""Não sei se ele estava a brincar ou não"". </s><s> ""Pessoalmente"
"blitz.pt",". </s><s> Mereces o Universo, estamos todos aqui para ti"", escreveu. ""Crescemos contigo todos os dias, e que força que","nos dás para sermos","aquilo que realmente somos. </s><s> Te amo, seu lindo"". </s><s> A ASUS Prime é a próxima evolução das motherboards ASUS, construídas a"
"blitz.pt","em palco... tínhamos alugado os instrumentos na Senófila e chegou uma altura em que o presidente da colectividade","nos pediu para cantar","o ""Parabéns A Você"", porque a filha dele fazia anos. </s><s> Recusei-me e depois não nos pagaram, o que levantou um problema por"
