"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","145"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"apagina.pt","aconteceu este ano. </s><s> Portanto, ser investigador em Portugal é assim: somos tratados quase como privilegiados, porque","nos pagam para estudar",", mas na verdade não temos quase direitos nenhuns, porque temos uma bolsa. </s><s> As pessoas que querem assentar para fazer"
"tv7dias.pt","sobre a situação]"", admitiu Marta, referindo-se à proximidade entre o fisiologista e a mulher de Bruno. ""Todos os dias","te convidei para sair","e nunca quiseste. </s><s> Deste todas as desculpas para não sair"", recordou a mulher. </s><s> Luís não concorda e tenta justificar-se. </s>"
"tv7dias.pt","única estar incluído neste lote final, cada um com características próprias e diferenciadoras, onde, juntos,","nos complementamos para proporcionar","a si, telespectador, um programa rico em entretenimento! </s><s> Chegar aqui foi intenso, regado de emoções fortes e com a"
"apagina.pt","vestir uma farda. </s><s> Eric Knight deu um salto na cadeira. ""Frank, mesmo que nunca mais voltes a ter uma ideia na vida, esta já","te basta para entrares","na História. </s><s> Tem qualquer coisa que me sabe a S. Tomás de Aquino: analisar primeiros os objectivos fundamentais do"
"tv7dias.pt",", ao homem que, mesmo à maneira, dele amou cada um dos seus filhos com toda a sua Alma... Quero agradecer a Deus a força que","nos deu para ultrapassar","a dor da ausência e a dor da saudade"", escreveu Katia, fazendo acompanhar o texto com uma imagem de José Aveiro. </s><s> Também"
"tv7dias.pt","um processo de dois meses de ensaios, mais ou menos, para construir o que queres apresentar. </s><s> Há todo um processo em que","nos preparamos para apresentar","uma coisa. </s><s> Neste caso, para fazer a novela, foi mais complicado porque sentia que já tinha de ter algo definido logo no"
"apagina.pt","e o mundo. </s><s> Ficamos todos mais pobres com esta partida. </s><s> Mas vamos ficar com a obra que o Professor José Paulo Serralheiro","nos deixou para ser","continuada. </s><s> Que o futuro o permita José Paulo </s><s> Comunicação Social Americana ignora milhares de feridos na guerra do"
"tv7dias.pt","dia que ia te chamar pai,teria te abraçado com tanta força. </s><s> Se soubesse que seria a última vez que ouviria o teu respirar","te pediria para ouvir","uma última frase tua (querida menina do pai )...? </s><s> Nenhum abraço, nenhuma palavra de amor jamais terá o mesmo valor ,Eu"
"apagina.pt","dar-se o caso de o pai bater no filho, o marido na mulher ou mesmo o aluno no professor. </s><s> Presume-se que seja por isto que","nos educaram para andarmos","todos cabisbaixos e caladinhos, evitando perguntar porquê. </s><s> Na política há adversários e inimigos. </s><s> A simpatia, a"
"apagina.pt","as aposentações antecipadas que estes estão a fazer, e já ninguém chia. </s><s> Agora... </s><s> Agora... Aos 79 anos, o que é que ainda","te move para continuares","a vir todos os dias ao sindicato? </s><s> Os professores. </s><s> Defender os professores e, sobretudo, tentar convencê-los de que"
"apagina.pt","desgastante que temos, pois ignoram que a porta da sala de aula nunca se fecha, mesmo quando estamos quase a adormecer; -","Nos violentaram para aceitarmos","um concurso para titulares em que valorizaram só os últimos 7 anos de serviço mesmo que já tivéssemos completado 30; e aí"
"apagina.pt",". </s><s> É a partir desta preocupação nuclear que se explica o interesse pelos monólogos atrás mencionados, os quais","nos servem para reflectir","sobre um certo estilo de oposição que, como tentaremos comprovar, é inútil porque falha o alvo. </s><s> Vem isto a propósito de"
"tv7dias.pt","minutos, Ana Marques, sempre bem-disposta, entre brincadeiras e risadas, foi ""puxando"" pelo casalinho. ""A Ana não","te pediu para mudares","de cabelo?"", atira a apresentadora, relembrando do ""forcing"" que Eliana fez para que Dave adaptasse o visual, em"
"apagina.pt","capacidade para auto e hetero-reflectirmos, bem como da nossa disponibilidade para com os outros aprendermos. </s><s> Se","nos disponibilizarmos para aprender","com o outro que é diferente, em particular com os nossos colegas e com os nossos alunos, estaremos a caminhar no sentido"
"apagina.pt","em nosso país, eu gostaria de suplicar-lhe como mãe e dona de casa que reflitamos sobre o futuro de nossos filhos e","nos juntemos para tomarmos","alguma atitude. </s><s> Assistimos estarrecidos, porém passivos, às maracutaias e falcatruas das quais os nossos políticos"
"apagina.pt","tese central (do livro Educação e Cultura) é que a cultura molda a mente, que ela nos apetrecha com os instrumentos de que","nos servimos para construir","não só os nossos mundos, mas também as nossas reais concepções sobre nós próprios e sobre as nossas faculdades [?] A vida"
"apagina.pt","para pouco mais de 8_mil o número de estudantes que entraram na Universidade. </s><s> Penso que as dificuldades com que hoje","nos defrontamos para adoptar","Bolonha provêm, fundamentalmente, destas decisões . </s><s> É um assunto difícil de compreender pelos que, sem se informarem"
"apagina.pt","trabalha, participam na avaliação quotidiana, relativamente ao espaço e ao trabalho que lhes diz respeito, acaba por","nos convocar para participar",", desse modo, num exercício de cidadania que se caracteriza por não atribuir aos outros aquilo que só a nós compete fazer"
"apagina.pt","a sineta, alheios aos avisos, imprecações e insultos do mestre-escola, partíamos para o cais da Ribeira, onde a vida","nos esperava para ser","aprendida. </s><s> Ao nascer, perdíamos o aconchego e protecção do útero materno. </s><s> O murmúrio das águas envolvia-nos numa"
"tv7dias.pt","segura na mão. </s><s> Mas este foi apenas o início. </s><s> Os Internautas não perdoaram e fizeram piadas a partir deste vídeo. ""Quando","te pedem para sinalizar","um acidente mas não podes desmarcar a atuação no programa da tarde"", ""os anos 80 ligaram... querem este tipo de volta"" ou"
"apagina.pt","temáticas do debate educativo: </s><s> ""Depois da BSE, dos alimentos transgénicos, da brucelose e das dioxinas, o que","nos resta para comer","?"" </s><s> Pouco, muito pouco mesmo. </s><s> Mas daí não vem grande mal, a si ou ao mundo. </s><s> É sabido que o Ocidente, civilizado, come para"
"apagina.pt","e da produção de conhecimento, a nova centralidade social. </s><s> Já não somos chamados a usar a força mas a inteligência. </s><s> Não","nos pedem para reproduzir","mecanicamente o aprendido. </s><s> Pedem-nos para aprender e inovar continuamente. </s><s> Os trabalhadores do conhecimento podem"
"tv7dias.pt",", essa esperança desvaneceu-se quando os dois se reencontraram, já em solo nacional. ""Aqui a gente até se falava e até","nos encontrámos para reatar","a amizade, mas depois brigámos e há cerca de mês ou mês e meio que não nos falamos. </s><s> Ela até me perguntou o que eu achava de ir"
"tv7dias.pt","obrigada pelas mensagens de carinho e preocupação. </s><s> Como me disse hoje uma boa amiga, a vida tem uma maneira estranha de","nos recordar para celebrar","cada batida"", escreveu a jornalista. </s><s> ""Teve a maior sorte do mundo"" </s><s> O empresário de Iker Casillas, Carlos Cutropia,"
"tv7dias.pt","<s> E até o Natal já passam juntos! </s><s> Gabriela – É uma data importante, é uma data da família, mas levo o Natal como uma data em que","nos juntamos para jantar",". </s><s> Quando era miúda era uma data mais importante. </s><s> Entretanto este tipo de datas foram deixando de ter a importância que eu"
"apagina.pt","medida em que nos ensina muito eficientemente a sermos consumidores. </s><s> Uma das muitas instituições contemporâneas que","nos educa para agirmos","como sujeitos-clientes que saibam participar de uma sociedade organizada em torno da lógica empresarial, a partir da"
"tv7dias.pt","máscara de proteção pode impedir duas coisas: contagiar e ser contagiado. </s><s> Isto claro está, se for bem usada. </s><s> Agora que","nos preparamos para iniciar",", gradualmente, o regresso à normalidade e ao contacto com outras pessoas, o uso deste tipo de proteção vai continuar a"
"apagina.pt","estenderam os dedos para a pampa, e com o coração em uníssono iria chegar a unidade das suas palavras: quando tu, povo,","te preparavas para cantar","uma velha canção onde se misturavam as lágrimas, a esperança e as dores: chegou a mão do verdugo e empapou de sangue a"
"tv7dias.pt","a começar. ""No recreio não me ligava nenhuma"", revela. </s><s> E foi Maria a dar o primeiro passo. </s><s> ""Nós estávamos num evento que","nos chamaram para ir","no coro cantar e o Luís estava lá com os pais. </s><s> Na altura, eu gostava dele, eu tinha ali uma paixoneta e as miúdas diziam: ''"
"tv7dias.pt",". </s><s> Toda a gente que vive na propriedade trabalha para a família real e sabe comportar-se de forma respeitosa. </s><s> Nunca","nos disseram para termos","este tipo de regras com a rainha. </s><s> Ela fica feliz quando a cumprimentamos"". </s><s> Frogmore Cottage fica localizado numa"
"tv7dias.pt",". </s><s> Quando começas assumir a tua relação muitas pessoas tentam prejudicar o relacionamento, ora os "" supostos"" amigos","te avisam para teres","cuidado, ora vem os ex-namorados(as) até muita gente que só nos conhece de vista veem opinar. </s><s> Falam, criticam, fofocam"
